song,spectrogram hash,mfcc hash,mel spectrogram hash,Chroma_stft hash
group16_song1_vocals.mp3,8f0b874b8f0b9b49ca097af58f0426f68f0625f2cd0074f2f93470f2e93472be,8e028e008f018b8d8b8f87cf85cb82cbc24bfa78f078f0f8f4f6f4f470f470f8,8b098b098b0bcf02cf00cd04ed346db46db461f6707660f665b660f770ff30fd,c924c92436db36dbc924c92436db36dbc924c92436db36db36dbc924c92436db
group16_song2_music.mp3,ba158a57ba1582e3b21c46e3b21447e392144febd2046de3cb803d77cf80757f,829492149018921cb21cb65ebc47acc3adc3a9e7ede2cdebc5eac5ebc5e8c5a8,b25e925e92149a148b948f80cd806d806d966d926d9e6dd274df65cb764b7769,8a508a5075af75af8a508a5075af75af8a508a5075af75af75af8a508a5075af
group16_song2_vocals.mp3,813281f08170c3d8bd014ecdfe0562fdeeb02178eea03d3b6e833d0f7e873d0f,e448e401fc03fd03fd01800180fc80fe81fc97e893f883fc82fcbabe7a3f7e17,857085708490c6b4e6e4e668e46a67ea65ee51ed59ad5aae6c8e6aca1b591b99,ce00c99319bb19bbce00cc9019bb19bbce80ee0419bb19fb33ffe604e64431ff
group16_song3_music.mp3,a786b4968780a3bfc3c86b6dcbc8492fcbc069b6cbc069b6cbf028978af0249f,8b40cbc0cbc0c38dcb04f10eb30eb66cb65fb45fb4fbacf2fcf0dc30cc34c821,87968396838a8bd089d098f098f198f198f15871587178717c717c7f762f762f,8bf88bf8740774078bf88bf8740774078bf88bf87407740774078bf88bf87407
group16_song3_vocals.mp3,8a4f8ab4820f9eb4c007b5b6c007b5b6c80179bed82071afdde0718f7de073cf,a0048007f007f006f01ea21580e183f88bf89fe99fe9cbf88ff8bfe97de87d28,8a538a53c8038e6183e187e013ec13fc13fc13fc31fc31fc71bc6fb86f226e32,91c092d26e9e6e9a91c090c06e9e6e9e91c091406e9e6ebf6fbf916191616ebf
group16_song4_full.mp3,a922c920adabcd01acd9ccd1a4dbedd0a9b2a972b19a5a76b4d252f6d0d65276,88a084c08680c489e988e901e920e924cd25d826db76bb3ebb77377736ff76df,adabadabadabadfbb5fbb47bb672f814f8147814589448945ab4529452145214,80087ff77ff7800880087ff77ff7800880087ff77ff780087ff77ff780088008
group16_song4_music.mp3,a2dba8eba2dba8ebb2dba8eab6dba8eab4dba442b4dbe440b4db4441b4125441,a938a50ba24a820e8aaecaa6d8a6d8a2d076f470fd71d551dd51df90f750b7f0,b6dbb6dbb6dbb6dbb6dfb4ddb47db035f035e834483449244924492449244924,800080007fff7fff800080007fff7fff800080007fff7fff7fff800080007fff
group16_song4_vocals.mp3,a920c920ad21cd81adc9cd91ad61e9b0a922e9f2a962dbf6c96252f6c96656ff,c900c920cd00cd81ed89a111ab10ab049e4cd66e92feb23eb27fb27f32ff56df,ad21ad21ad29a92ba92ba96baa32aa18e858fa587ad852dc52dc52dd56d556d5,8b738b73748c748c8b738b73748c748c8b738b73748c748c748c8b738b73748c
Group17_Song1_Full.mp3,8cc589c589c5898789878d8781838d858d858d958ddd95599559b55bb57bb57b,9000800080008002c806801ab4458a27cba3dfe9dffdcff77fff767f767e777f,8dc58dc58dc58dc18ce18c7194719473b5733573357337737233723b721b6288,bc73bc73438c438cbc73bc73438c438cbc73bc73438c438c438cbc73bc73438c
Group17_Song1_Music.mp3,945d945d945d945d945d945d945d945d945d945d945d945d945d945d9459945f,8800941094109806b44cb458b044b4cdb65bb7efefeb4fb34bf24bf74bb74bb6,b449b449b459b459b459b459b459b459b4599459955bdd3a4bba4ba24ba64ba6,8.00E+63
Group17_Song1_Vocals.mp3,cba4cba4cba4cba4cba4cba4cba5cba5cba4cba5cba4cba58ba18ba18ba18ba1,cba6cba2cba2cba2c986c707b647bc46b545b459b458b459b45db459b459b458,cb84c984c9a4c9a4c9a4c9b68936997639773177317337733773361b36193619,88a688a67759775988a688a67759775988a688a677597759775988a688a67759
Group17_Song2_Full.mp3,804a89ce804883fda004c3fda008c3ff800a5ffbf2007bb7f2107bb3f3b17ffb,8000b000ec01ae218c37802f803e805c81c4f1e1f3e0f7c8ffda5fea7fff7ff7,80488048804880188294cab4fab67ab672b673b67f377d3a7d6a7d6a7d6e5d6e,c294c8c41dee1ceec294c2941dee1deec294e2111dee1dee3debe211e2111dee
Group17_Song2_Music.mp3,bc028c6fbc028c6fbc028c6fbc029f67bc02df77bc0077f1bc1073b1eb9073b0,800280008d8a8cb88c7a8c7a9c29b80df215f2f4f3d5f3d557c74fea47fb47fa,bc07bc07bc07bc07bc07bc07bc469f44df455bc55bc153c143c943e943e843f8,800080007fff7fff800080007fff7fff800080007fff7fff7fff800080007fff
Group17_Song2_Vocals.mp3,81c885dc81c885f483ec83f483f884fc81d896f383f85ab783f07ab383b17e77,82b083b083d4a34da745d54785d280d28c6bfc6bf82bf832f832fc2afc077c6f,81c881c881c883dc839482b4c2b672b672b672b67e377c367c6a7c6a7c6e7c6e,82b084ee7c4f7c4e82b082b67c4f7c4e82b083b47c4f7c4e7d4f83b183b17d49
Group17_Song3_Full.mp3,8242a07b86c284fb8480c5fbc480c9ffc1006b7dc9047b7df9047f75f9047fbf,800080008000f400fc80fc008e6180ff83fe83ffa37f83ffab7f7fe77f877f9e,84ea84ea84e2c0f7c057cb55cb55cb454b456b143b9e369e369e349a359a3daa,d555956a202a252ad555d555202a20aad555d7552dab28ab2aabdf55dfd52aab
Group17_Song3_Music.mp3,9484ad4f9684ad4f9680ed3bd600ab3b9200abfb90086bffc0085fffc0095fff,8000c000c900c800cd00cb92b602bee5afe786ffa07fbcff3cfd7b7f4bba69be,968096849684968f868f849f849f849fa49fa49fa49fe47f6c716d6079707971,8.00E+63
